            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459555.500000000, A.D. 2021-Dec-07 00:00:00.0000,  4.431518550140055E+09, -5.366952552565030E+08, -3.300092594889493E+08,  7.266257777234478E-01,  5.031589813294651E+00,  2.041673344426218E+00,  1.493060037349559E+04,  4.476081385385961E+09, -3.443768364366355E-02,
2459556.500000000, A.D. 2021-Dec-08 00:00:00.0000,  4.431581305880621E+09, -5.362605055570355E+08, -3.298328197293302E+08,  7.262023292930060E-01,  5.032125686260131E+00,  2.042511509334657E+00,  1.493059043263683E+04,  4.476078405191477E+09, -3.440353681772164E-02,
2459557.500000000, A.D. 2021-Dec-09 00:00:00.0000,  4.431644055363932E+09, -5.358257019194926E+08, -3.296563351581369E+08,  7.263791731459339E-01,  5.032728224601635E+00,  2.042616409500023E+00,  1.493058060554560E+04,  4.476075459103642E+09, -3.372879433644523E-02,
2459558.500000000, A.D. 2021-Dec-10 00:00:00.0000,  4.431706818160590E+09, -5.353908643032568E+08, -3.294798790630268E+08,  7.263618834649622E-01,  5.032847140585748E+00,  2.041924627924425E+00,  1.493057098288284E+04,  4.476072574301922E+09, -3.312961219986918E-02,
2459559.500000000, A.D. 2021-Dec-11 00:00:00.0000,  4.431769547258004E+09, -5.349560413514106E+08, -3.293034911523961E+08,  7.255566955012918E-01,  5.032435580447545E+00,  2.041201772149066E+00,  1.493056143854402E+04,  4.476069712981127E+09, -3.324492865337240E-02,
2459560.500000000, A.D. 2021-Dec-12 00:00:00.0000,  4.431832177846572E+09, -5.345212598938769E+08, -3.291271363118873E+08,  7.241868875946468E-01,  5.031996561041450E+00,  2.041245473742283E+00,  1.493055176051299E+04,  4.476066811580418E+09, -3.397260900172440E-02,
2459561.500000000, A.D. 2021-Dec-13 00:00:00.0000,  4.431894694640055E+09, -5.340864971181267E+08, -3.289507411000541E+08,  7.230640200269980E-01,  5.032062233336170E+00,  2.042057009459368E+00,  1.493054187115305E+04,  4.476063846824892E+09, -3.457257741758110E-02,
2459562.500000000, A.D. 2021-Dec-14 00:00:00.0000,  4.431957147714266E+09, -5.336517042619257E+08, -3.287742699832370E+08,  7.227435906529346E-01,  5.032641815599127E+00,  2.042841388085442E+00,  1.493053190773657E+04,  4.476060859867775E+09, -3.443718710724731E-02,
2459563.500000000, A.D. 2021-Dec-15 00:00:00.0000,  4.432019600537073E+09, -5.332168572528818E+08, -3.285977622418771E+08,  7.229478450186905E-01,  5.033209837284396E+00,  2.042830875964327E+00,  1.493052207999021E+04,  4.476057913583537E+09, -3.372229971927374E-02,
2459564.500000000, A.D. 2021-Dec-16 00:00:00.0000,  4.432082064048681E+09, -5.327819817019858E+08, -3.284212911703138E+08,  7.228554418890354E-01,  5.033252014925664E+00,  2.042081736331781E+00,  1.493051245222244E+04,  4.476055027251373E+09, -3.318423559100917E-02,
2459565.500000000, A.D. 2021-Dec-17 00:00:00.0000,  4.432144485331647E+09, -5.323471263345587E+08, -3.282448880037277E+08,  7.219527287960035E-01,  5.032800133372154E+00,  2.041417502501645E+00,  1.493050287663700E+04,  4.476052156563077E+09, -3.339611270432352E-02,
2459566.500000000, A.D. 2021-Dec-18 00:00:00.0000,  4.432206802542944E+09, -5.319123123821671E+08, -3.280685094564971E+08,  7.205658760453704E-01,  5.032397848908350E+00,  2.041573390597166E+00,  1.493049314674952E+04,  4.476049239616193E+09, -3.415363195683820E-02,
2459567.500000000, A.D. 2021-Dec-19 00:00:00.0000,  4.432269009149852E+09, -5.314775115664085E+08, -3.278920827008168E+08,  7.195237221607664E-01,  5.032536997576671E+00,  2.042432861940818E+00,  1.493048321192176E+04,  4.476046261229760E+09, -3.468576977851200E-02,
2459568.500000000, A.D. 2021-Dec-20 00:00:00.0000,  4.432331160705360E+09, -5.310426754556171E+08, -3.277155809666473E+08,  7.192970781569464E-01,  5.033148136729579E+00,  2.043149876533512E+00,  1.493047322993502E+04,  4.476043268705420E+09, -3.445579917476896E-02,
2459569.500000000, A.D. 2021-Dec-21 00:00:00.0000,  4.432393317192091E+09, -5.306077857768462E+08, -3.275390513654436E+08,  7.195096475482263E-01,  5.033672008269608E+00,  2.043026803475087E+00,  1.493046340324880E+04,  4.476040322739004E+09, -3.371883527154665E-02,
