            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459554.500000000, A.D. 2021-Dec-06 00:00:00.0000,  4.123852386602925E+07,  1.295473874507409E+08,  5.613699791816069E+07, -2.801350391954535E+01,  7.669346746978300E+00,  3.235174961156030E+00,  4.906284955789080E+02,  1.470867226544430E+08,  1.354391087610681E-01,
2459555.500000000, A.D. 2021-Dec-07 00:00:00.0000,  3.880938791580605E+07,  1.301997651438357E+08,  5.641283207061703E+07, -2.822580401951449E+01,  7.427767371230499E+00,  3.148814240703168E+00,  4.906971040901138E+02,  1.471072909686571E+08,  3.351357944675976E-01,
2459556.500000000, A.D. 2021-Dec-08 00:00:00.0000,  3.635965542930179E+07,  1.308299713571273E+08,  5.668081541890979E+07, -2.848829637068321E+01,  7.153916815169333E+00,  3.052190420028806E+00,  4.908180112815081E+02,  1.471435380327550E+08,  4.969483200733197E-01,
2459557.500000000, A.D. 2021-Dec-09 00:00:00.0000,  3.388554955809878E+07,  1.314347220772626E+08,  5.693976868587397E+07, -2.878757698628232E+01,  6.837185588258023E+00,  2.938913859525032E+00,  4.909793120897432E+02,  1.471918947985332E+08,  6.148558412814967E-01,
2459558.500000000, A.D. 2021-Dec-10 00:00:00.0000,  3.138452955894958E+07,  1.320100368709085E+08,  5.718806083950561E+07, -2.910884550413516E+01,  6.471976412870654E+00,  2.804912071856104E+00,  4.911680370185218E+02,  1.472484731088176E+08,  6.873137820536662E-01,
2459559.500000000, A.D. 2021-Dec-11 00:00:00.0000,  2.885531869179070E+07,  1.325516382274145E+08,  5.742380126174836E+07, -2.943789178637231E+01,  6.056815830693782E+00,  2.648176623860505E+00,  4.913712654014334E+02,  1.473093994452661E+08,  7.159725057717030E-01,
2459560.500000000, A.D. 2021-Dec-12 00:00:00.0000,  2.629780250040362E+07,  1.330552557501126E+08,  5.764499728411508E+07, -2.976211909172537E+01,  5.593142611981887E+00,  2.468265389859341E+00,  4.915768510392216E+02,  1.473710324689481E+08,  7.043571641747560E-01,
2459561.500000000, A.D. 2021-Dec-13 00:00:00.0000,  2.371287347856012E+07,  1.335168297224153E+08,  5.784966754836437E+07, -3.007081587744079E+01,  5.084243127225268E+00,  2.265808464395121E+00,  4.917738093971049E+02,  1.474300790991816E+08,  6.568729975017111E-01,
2459562.500000000, A.D. 2021-Dec-14 00:00:00.0000,  2.110227248407931E+07,  1.339326365493297E+08,  5.803591760135185E+07, -3.035501387444885E+01,  4.534518571293647E+00,  2.042138350999732E+00,  4.919524772611504E+02,  1.474836423773094E+08,  5.782175256401946E-01,
2459563.500000000, A.D. 2021-Dec-15 00:00:00.0000,  1.846844986217619E+07,  1.342993653641937E+08,  5.820198991734897E+07, -3.060721115843899E+01,  3.949076210176235E+00,  1.799065784613768E+00,  4.921045536771972E+02,  1.475292337398799E+08,  4.731258408122767E-01,
2459564.500000000, A.D. 2021-Dec-16 00:00:00.0000,  1.581444988423303E+07,  1.346141701373893E+08,  5.834629987479597E+07, -3.082112858821779E+01,  3.333553158351474E+00,  1.538771793734221E+00,  4.922231010805630E+02,  1.475647733573244E+08,  3.463288557278341E-01,
2459565.500000000, A.D. 2021-Dec-17 00:00:00.0000,  1.314381188200736E+07,  1.348747127513936E+08,  5.846746581279022E+07, -3.099157280673253E+01,  2.694066710638018E+00,  1.263770949213735E+00,  4.923025515271354E+02,  1.475885920019916E+08,  2.026142752219973E-01,
2459566.500000000, A.D. 2021-Dec-18 00:00:00.0000,  1.046047813291522E+07,  1.350792039645149E+08,  5.856433742863844E+07, -3.111441457357786E+01,  2.037202596963501E+00,  9.769033855399298E-01,  4.923387351591417E+02,  1.475994395819701E+08,  4.690906261196761E-02,
2459567.500000000, A.D. 2021-Dec-19 00:00:00.0000,  7.768699590504164E+06,  1.352264427325523E+08,  5.863602353857131E+07, -3.118665353039690E+01,  1.369981383424252E+00,  6.813238529103339E-01,  4.923289292221551E+02,  1.475964998360179E+08, -1.156661029416955E-01,
